INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_B01;INDICADORA_C00;INDICADORA_C01;INDICADORA_C02;INDICADORA_C03;INDICADORA_C04;INDICADORA_C05;INDICADORA_C06;INDICADORA_C07;INDICADORA_C08;INDICADORA_C09;INDICADORA_C10;V884;V878;V1883
76;9999;;9999;;9999;;;;;;;;;;;432960,9445066899221;2311,503337320410949116073050349755986906;1475168,0413446506616
76;9999;;9999;;;1;;;;;;;;;;291348,621187182366;2453,540127334601567919101305269582590837;1009792,8685255964419
76;9999;;9999;;;;2;;;;;;;;;390884,0135077422034;2435,667532324182386996162239367658859048;1349929,8410760691878
76;9999;;9999;;;;;3;;;;;;;;134150,5196948240934;3727,78053400237269385095349162305876325;470198,472134598587
76;9999;;9999;;;;;;4;;;;;;;407217,2412335793364;2388,996315932027330767786201303292059293;1395385,296150939912
76;9999;;9999;;;;;;;5;;;;;;359428,0910651704738;2553,128327861531543899450665057860768591;1244086,5490728094471
76;9999;;9999;;;;;;;;6;;;;;89329,7997412526353;4577,936935384787639151861776245763202226;321129,8607195111071
76;9999;;9999;;;;;;;;;7;;;;128251,0551889358148;4236,347175296141755015153880955676467178;457596,6798380929693
76;9999;;9999;;;;;;;;;;9;;;194390,0813185761245;2339,879599971937578542033826675366749551;693676,2259889722532
76;9999;;9999;;;;;;;;;;;10;;123492,3957791271639;4521,676190593874738374282225060020848173;436250,0811712171953
76;9999;;9999;;;;;;;;;;;;8;99809,0813351108815;4679,61248050879486765534073394927790652;355501,1933302060496
76;9999;;;1;9999;;;;;;;;;;;5389,9860150653895;968,04778777289889185017190214571701155;14618,0806309859269
76;9999;;;1;;1;;;;;;;;;;2354,6613547425886;898,136371903832251785814068918347241325;6415,5446680644589
76;9999;;;1;;;2;;;;;;;;;3450,8507661035047;1018,27928752147894764362452234998531284;10493,9014811911863
76;9999;;;1;;;;3;;;;;;;;272,9077513085928;1002,730254023051979078143241269590611135;836,3110444424849
76;9999;;;1;;;;;4;;;;;;;3310,395852440751;955,734539925703144638064998789041563153;9830,9137276233086
76;9999;;;1;;;;;;5;;;;;;3339,3957647012218;1041,675596348221167508382491354705603658;9389,7190061759888
76;9999;;;1;;;;;;;6;;;;;157,0125963998975;1155,654314457763557925801682779429502336;574,1009372040399
76;9999;;;1;;;;;;;;7;;;;218,5636686596054;1522,184269850291183398746510137249566485;619,8772327751418
76;9999;;;1;;;;;;;;;9;;;1069,0177669786658;1178,186909174160061792222173226319844961;2987,651297809905
76;9999;;;1;;;;;;;;;;10;;170,742020668445;1650,817597467216096313179008307018142296;559,5879012430988
76;9999;;;1;;;;;;;;;;;8;80,1149768095694;1907,427433747423458225321560086360879567;172,4351751002366
76;9999;;;2;9999;;;;;;;;;;;20239,4243861250602;1233,643964316578415482303620096841819976;53603,3291058494472
76;9999;;;2;;1;;;;;;;;;;10368,8143512430883;1213,813598390996391815931544766388815043;28541,8017276138352
76;9999;;;2;;;2;;;;;;;;;16028,2506439590643;1340,980215559610817002524755409706472558;43637,2065048245345
76;9999;;;2;;;;3;;;;;;;;3021,9835667471623;1486,527211673854023967639398336848341937;8854,1783090162351
76;9999;;;2;;;;;4;;;;;;;16623,3258241473902;1319,120821130571993199800784209659411321;44772,1097560277888
76;9999;;;2;;;;;;5;;;;;;14540,6122342743607;1392,485574007514614055926724139295695135;38528,9111738517354
76;9999;;;2;;;;;;;6;;;;;1101,6525213678289;1898,745128195550268354963225193117919018;3018,2088392267255
76;9999;;;2;;;;;;;;7;;;;2045,2157766154607;2468,769872631473907891135994551210579454;4621,8273585497946
76;9999;;;2;;;;;;;;;9;;;5691,1907401416625;1495,251098566233475219873047220460007715;15252,734449482672
76;9999;;;2;;;;;;;;;;10;;1901,0725950736411;2536,445477019383674447354739176414725455;4728,98760259238
76;9999;;;2;;;;;;;;;;;8;1263,8589683013119;2826,586700306927555872507030371207326762;2721,2896152507695
